		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.			Int. 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	Bar  	Lluvia	Lluvia	Calor 	Frío 	Int.	Int.	Int.	Int.  	Viento	Viento	ISS 	Arc.
10/01/15	4:35 a	21.1	21.1	21.1	81	17.7	4.8	SW	0.40	12.9	S	21.1	21.7	21.7	1009.3	0.00	0.0	0.000	0.009	34.8	42	20.0	38.1	100	8	100.0	5
10/01/15	4:40 a	21.0	21.1	20.9	82	17.8	3.2	NNE	0.27	12.9	SSW	21.0	21.7	21.7	1009.4	0.00	0.0	0.000	0.009	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	4:45 a	20.8	21.0	20.8	82	17.6	3.2	NE	0.27	6.4	NNE	20.8	21.6	21.6	1009.4	0.00	0.0	0.000	0.009	34.8	42	20.0	38.0	98	8	100.0	5
10/01/15	4:50 a	20.8	20.8	20.8	82	17.6	3.2	S	0.27	8.0	WSW	20.8	21.6	21.6	1009.5	0.00	0.0	0.000	0.008	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	4:55 a	20.7	20.8	20.7	82	17.5	3.2	ENE	0.27	9.7	SW	20.7	21.6	21.6	1009.6	0.00	0.0	0.000	0.008	34.8	42	20.0	38.1	98	8	100.0	5
10/01/15	5:00 a	20.7	20.7	20.7	82	17.5	3.2	E	0.27	9.7	WSW	20.7	21.6	21.6	1009.5	0.00	0.0	0.000	0.008	34.8	42	20.0	38.1	96	8	99.0	5
10/01/15	5:05 a	20.6	20.7	20.6	82	17.4	3.2	SSE	0.27	6.4	SSE	20.6	21.5	21.5	1009.7	0.00	0.0	0.000	0.008	34.8	42	20.0	38.1	97	8	100.0	5
10/01/15	5:10 a	20.6	20.6	20.6	82	17.4	3.2	ENE	0.27	14.5	NNW	20.6	21.4	21.4	1009.7	0.00	0.0	0.000	0.008	34.8	42	20.0	38.0	97	8	100.0	5
10/01/15	5:15 a	20.5	20.6	20.5	82	17.3	3.2	WSW	0.27	6.4	NW	20.5	21.4	21.4	1009.8	0.00	0.0	0.000	0.008	34.8	42	20.0	38.1	95	8	97.9	5
10/01/15	5:20 a	20.4	20.5	20.4	82	17.3	4.8	SSE	0.40	11.3	W	20.4	21.3	21.3	1009.8	0.00	0.0	0.000	0.007	34.8	42	20.0	38.1	98	8	100.0	5
